Player,Team,Position,Points,Games,Avg,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Aaron Rodgers,GB,QB,380.0,16,23.8,23.6,17.4,26.4,,15.9,12.5,23.7,33.8,26.2,27.5,29.3,23.1,16.0,21.2,12.0,37.2,34.2
David Johnson,ARI,RB,367.8,16,23.0,21.2,15.8,24.6,12.4,32.0,33.3,21.1,14.3,2.0,24.6,31.5,26.1,34.0,14.6,24.8,31.6,5.9
Matt Ryan,ATL,QB,347.5,16,21.7,24.4,27.8,19.9,35.5,15.0,21.6,13.7,24.4,27.8,12.7,,18.3,16.2,21.5,19.3,20.0,29.4
Drew Brees,NO,QB,332.3,16,20.8,31.4,14.5,25.9,11.9,,32.6,24.7,20.7,24.7,21.0,15.4,32.5,7.0,4.5,29.4,16.1,20.0
Ezekiel Elliott,DAL,RB,309.4,15,20.6,11.7,13.7,17.0,22.2,30.6,18.4,,16.8,22.2,39.9,14.7,25.0,18.5,10.7,26.3,21.7,
Andrew Luck,IND,QB,307.6,15,20.5,35.5,10.1,13.2,17.7,22.2,23.4,27.8,18.4,12.7,,18.7,,29.7,16.2,18.8,24.7,18.5
Kirk Cousins,WAS,QB,300.3,16,18.8,10.0,18.6,19.3,17.3,12.3,17.3,21.5,24.2,,18.4,27.4,30.2,16.8,16.0,9.7,29.8,11.5
Dak Prescott,DAL,QB,287.1,16,17.9,10.3,18.3,23.5,18.1,17.5,18.5,,27.3,23.9,18.8,25.6,21.7,11.3,6.7,19.2,24.0,2.4
Le'Veon Bell,PIT,RB,279.9,12,23.3,,,,20.3,19.9,15.8,19.9,,10.0,29.9,30.1,22.2,19.2,49.8,15.6,27.2,
Matthew Stafford,DET,QB,279.7,16,17.5,26.1,15.5,26.5,8.2,18.8,28.2,17.8,13.6,14.8,,11.1,16.3,23.8,16.4,10.2,12.5,19.9
LeSean McCoy,BUF,RB,273.3,15,18.2,15.0,11.0,25.1,19.8,16.8,32.7,1.1,,14.0,,11.5,28.4,22.6,19.8,30.4,23.0,2.1
Tyrod Taylor,BUF,QB,270.9,15,18.1,5.5,24.4,16.4,16.6,15.8,20.0,24.3,18.1,25.9,,8.5,20.4,12.6,15.3,15.9,31.2,
Blake Bortles,JAC,QB,270.6,16,16.9,15.0,18.6,11.5,25.9,,10.9,13.1,29.7,21.5,17.7,12.4,21.1,10.1,15.6,7.2,26.2,14.1
Russell Wilson,SEA,QB,269.1,16,16.8,11.9,11.6,14.0,23.9,,11.5,9.2,9.2,26.3,26.5,24.8,10.0,16.0,5.5,20.4,33.6,14.7
Derek Carr,LV,QB,268.7,15,17.9,22.4,25.0,11.9,23.8,22.0,9.8,12.4,35.8,7.7,,21.6,17.4,20.8,5.0,11.0,22.1,
DeMarco Murray,TEN,RB,267.3,16,16.7,20.2,18.0,24.0,24.9,16.2,12.5,20.2,19.3,17.5,27.0,15.4,10.9,,15.2,16.6,7.0,2.4
Andy Dalton,CIN,QB,260.6,16,16.3,17.3,19.3,10.2,14.6,22.2,21.9,20.3,19.5,,11.7,15.3,12.7,22.2,16.9,10.4,12.7,13.4
Marcus Mariota,TEN,QB,259.9,15,17.3,16.7,16.6,4.8,8.1,30.5,27.8,16.7,19.9,25.9,27.8,22.5,21.6,,7.3,5.4,8.3,
Philip Rivers,LAC,QB,258.8,16,16.2,14.6,23.8,11.2,18.8,26.4,11.1,14.6,12.7,18.7,17.0,,19.7,14.8,7.4,14.2,18.9,14.9
Tom Brady,NE,QB,258.4,12,21.5,,,,,29.6,27.2,18.2,30.1,,11.3,28.4,19.0,14.9,26.1,7.4,20.6,25.6
Devonta Freeman,ATL,RB,257.1,16,16.1,6.0,9.3,29.2,13.4,19.8,6.5,12.5,19.8,11.5,9.6,,20.7,24.5,2.8,32.5,12.8,26.2
Jordy Nelson,GB,WR,256.2,16,16.0,12.2,15.8,25.1,,11.8,7.3,1.4,17.4,18.9,24.6,10.3,13.1,21.8,19.1,15.9,31.9,9.6
Jameis Winston,TB,QB,256.2,16,16.0,25.5,4.6,25.5,11.1,15.4,,20.7,18.8,21.5,18.5,17.4,16.0,15.3,9.0,10.5,16.5,9.9
Mike Evans,TB,WR,256.1,16,16.0,18.4,16.0,24.2,8.4,17.9,,25.6,9.0,32.5,8.6,13.5,26.4,7.3,6.2,7.9,19.2,15.0
