Player,Team,Position,Points,Games,Avg,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Aaron Rodgers,GB,QB,397.4,15,26.5,24.6,21.6,22.2,45.9,23.7,24.1,26.2,,31.1,28.1,24.8,20.2,32.0,17.2,22.6,33.1,
Drew Brees,NO,QB,391.8,16,24.5,29.1,23.0,26.7,15.0,20.4,15.4,33.0,10.7,18.3,20.9,,37.3,25.7,22.1,34.9,25.2,34.1
Cam Newton,CAR,QB,369.4,16,23.1,30.7,26.6,15.0,32.5,23.7,14.2,26.1,24.9,,12.0,24.9,19.6,38.3,18.6,19.5,31.3,11.5
Tom Brady,NE,QB,366.4,16,22.9,35.0,29.2,24.0,16.9,15.1,17.3,,15.9,16.2,25.4,16.4,29.2,20.3,25.1,27.0,29.9,23.5
Matthew Stafford,DET,QB,343.3,16,21.5,22.2,25.9,23.0,15.5,14.9,20.6,11.3,24.8,,9.3,29.6,14.1,18.3,17.5,30.1,27.4,38.8
Ray Rice,BAL,RB,296.8,16,18.6,26.9,15.6,16.4,19.0,,16.1,4.3,27.9,14.6,12.1,26.7,8.3,27.4,18.9,11.2,19.5,31.9
Eli Manning,NYG,QB,280.8,16,17.6,14.9,13.7,25.9,18.5,21.3,11.6,,21.7,17.1,16.8,10.6,22.6,21.9,21.8,4.3,10.9,27.2
LeSean McCoy,PHI,RB,280.4,15,18.7,25.7,23.6,20.1,11.2,16.7,19.9,,32.0,17.7,15.3,11.5,12.1,25.3,19.1,25.7,4.5,
Tony Romo,DAL,QB,276.0,16,17.3,18.6,21.8,8.1,19.2,,16.4,14.6,11.0,20.5,22.8,23.5,12.8,16.1,28.8,25.9,0.0,15.9
Matt Ryan,ATL,QB,273.4,16,17.1,8.8,20.4,12.4,18.2,7.6,17.2,14.9,,21.0,20.9,16.9,22.8,11.7,28.8,21.0,18.6,12.2
Calvin Johnson,DET,WR,263.2,16,16.5,20.8,14.9,22.8,21.6,19.0,11.3,17.5,18.5,,6.1,8.9,10.9,6.9,4.0,33.4,16.2,30.4
Maurice Jones-Drew,JAC,RB,262.0,16,16.4,15.7,10.7,16.7,8.7,14.5,10.4,8.4,13.4,,19.7,17.8,16.6,24.8,37.6,11.3,18.4,17.3
Philip Rivers,LAC,QB,252.7,16,15.8,17.1,18.3,6.4,18.1,17.0,,7.1,8.9,25.3,15.4,15.2,11.6,23.8,19.6,14.8,12.0,22.1
Arian Foster,HOU,RB,250.1,13,19.2,,4.0,,22.6,18.4,10.1,41.4,18.4,21.0,30.6,,12.9,21.2,5.4,20.7,23.4,
Rob Gronkowski,NE,TE,240.9,16,15.1,14.6,20.6,22.9,1.5,3.1,7.4,,9.4,16.1,23.3,21.6,11.9,24.6,28.0,5.3,7.8,22.8
Mark Sanchez,NYJ,QB,237.2,16,14.8,17.7,14.2,27.0,-2.9,14.6,18.5,19.4,,8.9,19.3,8.1,21.7,10.7,25.6,8.3,15.6,10.5
Los Angeles Chargers,LAC,DST,234.0,16,14.6,14.0,12.0,13.0,17.0,9.0,,22.0,21.0,11.0,15.0,12.0,11.0,14.0,20.0,21.0,10.0,12.0
Michael Vick,PHI,QB,233.0,13,17.9,23.2,14.2,8.1,30.1,21.6,16.9,,24.2,9.9,9.0,,,,11.2,22.2,20.7,21.7
Los Angeles Rams,LAR,DST,231.0,16,14.4,12.0,12.0,11.0,14.0,,13.0,14.0,24.0,17.0,14.0,18.0,19.0,14.0,11.0,13.0,12.0,13.0
Ryan Fitzpatrick,BUF,QB,222.8,16,13.9,24.6,22.9,18.2,8.5,10.4,14.6,,14.9,10.5,5.8,6.0,26.0,13.6,5.6,15.3,10.0,15.9
Jordy Nelson,GB,WR,216.3,16,13.5,13.7,14.4,4.0,15.1,1.7,16.4,5.2,,16.5,18.3,24.3,2.6,9.4,14.1,2.9,23.5,34.2
Ben Roethlisberger,PIT,QB,215.9,15,14.4,6.1,16.7,14.1,7.3,27.1,12.9,26.2,20.7,16.5,11.6,,10.5,15.0,17.2,5.2,,8.8
Marshawn Lynch,SEA,RB,215.6,15,14.4,4.7,1.2,7.5,11.7,17.1,,,6.4,20.3,22.7,14.9,19.1,26.8,18.3,16.7,19.1,9.1
Wes Welker,NE,WR,213.9,16,13.4,28.0,8.1,35.6,21.8,12.4,10.5,,3.9,14.9,4.6,2.2,22.6,11.0,14.6,4.1,14.5,5.1
Michael Turner,ATL,RB,212.8,16,13.3,12.0,20.6,2.0,20.8,11.6,26.7,12.2,,13.8,10.6,14.9,6.4,4.4,7.6,12.5,7.5,29.2
Alex Smith,SF,QB,211.8,16,13.2,13.2,15.3,8.0,17.5,18.8,7.4,1.3,13.3,12.9,16.4,18.4,4.8,20.0,6.7,12.7,9.4,18.9
Andy Dalton,CIN,QB,207.3,16,13.0,7.2,21.6,2.8,19.1,13.2,14.5,,11.0,21.1,10.8,16.1,15.1,10.0,9.8,5.0,19.0,11.0
Victor Cruz,NYG,WR,205.9,16,12.9,0.0,1.7,23.0,9.8,20.4,1.2,,15.9,9.1,8.4,18.8,27.7,11.9,7.4,4.4,22.4,23.8
Josh Freeman,TB,QB,205.2,15,13.7,14.6,13.3,12.7,24.2,3.7,20.4,10.6,,16.0,7.3,18.2,9.0,,9.8,13.6,17.4,14.4
Joe Flacco,BAL,QB,202.4,16,12.7,21.0,7.9,28.3,2.2,,14.1,6.7,10.9,14.0,13.0,16.6,10.6,4.2,15.1,14.2,14.3,9.3
Tim Tebow,DEN,TE,199.3,14,14.2,,0.0,,-0.1,17.0,,22.3,13.2,24.8,17.1,17.0,16.4,17.4,14.3,27.1,12.8,0.0
Jimmy Graham,NO,TE,195.0,16,12.2,11.6,7.9,16.0,19.2,12.9,12.4,17.4,3.9,7.8,14.2,,20.4,8.9,5.5,11.0,10.2,15.7
David Akers,SF,K,190.6,16,11.9,15.0,8.0,9.0,6.0,12.0,13.0,,8.0,16.0,15.0,12.0,9.0,14.0,14.0,8.0,16.0,15.6
Matt Hasselbeck,TEN,QB,190.2,16,11.9,17.4,16.3,18.2,19.3,12.8,,4.2,12.9,19.2,12.9,4.7,6.2,5.5,1.8,4.8,14.2,19.8
Larry Fitzgerald,ARI,WR,189.1,16,11.8,6.2,19.3,12.4,10.2,6.6,,7.8,9.8,10.3,26.6,10.1,5.5,5.5,20.9,6.5,16.5,14.9
Adrian Peterson,MIN,RB,188.9,12,15.7,10.4,26.1,15.7,8.3,30.2,9.9,23.5,27.9,,11.1,8.6,,,,6.0,11.2,
Ryan Mathews,LAC,RB,186.6,14,13.3,11.8,18.6,26.9,14.9,13.2,,6.5,9.2,,5.7,3.1,14.2,17.4,14.8,22.9,7.4,
Michael Bush,LV,RB,185.5,16,11.6,3.0,8.3,11.7,14.1,0.9,3.7,11.1,,18.9,30.2,16.9,15.3,4.5,15.7,13.9,9.4,7.9
Darren Sproles,NO,RB,185.3,16,11.6,8.2,12.0,14.5,13.1,9.1,6.2,22.7,7.6,15.9,0.3,,8.2,13.4,9.1,17.2,14.9,12.9
Steve Smith,CAR,WR,185.0,16,11.6,29.8,13.6,2.7,18.1,13.9,6.6,14.9,17.2,,4.7,12.6,7.7,3.2,12.5,14.2,3.2,12.7
Steven Jackson,LAR,RB,181.8,15,12.1,11.6,,2.3,12.4,,12.5,13.3,31.1,14.2,13.1,6.1,7.8,3.0,18.3,14.3,12.7,9.1
Roddy White,ATL,WR,177.6,16,11.1,6.1,8.3,14.0,7.8,11.0,2.1,11.2,,7.6,6.2,14.7,18.0,11.1,14.4,25.5,12.7,6.9
Frank Gore,SF,RB,176.5,16,11.0,7.8,12.4,2.2,19.9,18.3,20.6,,19.4,11.4,0.8,9.4,4.8,7.3,13.2,12.5,15.6,0.9
Reggie Bush,MIA,RB,176.2,15,11.8,15.4,2.1,0.5,6.5,,7.8,4.6,12.0,20.2,17.1,12.6,9.6,16.0,13.0,24.9,13.9,
Percy Harvin,MIN,WR,175.2,16,11.0,2.2,7.4,8.8,10.9,2.3,8.3,2.3,11.7,,7.0,15.4,16.6,29.5,16.9,0.7,16.4,18.8
San Francisco 49ers,SF,DST,171.0,16,10.7,12.0,5.0,11.0,8.0,22.0,8.0,,12.0,12.0,6.0,16.0,1.0,18.0,8.0,18.0,7.0,7.0
Mike Wallace,PIT,WR,171.0,16,10.7,10.7,18.6,20.4,7.7,15.0,13.6,17.8,7.0,10.8,8.5,,1.7,15.5,7.8,6.6,8.2,1.1
Vincent Jackson,LAC,WR,169.7,16,10.6,3.1,29.2,6.4,16.8,3.4,,1.5,4.9,32.1,2.2,22.5,2.5,13.2,5.5,9.3,4.1,13.0
Fred Jackson,BUF,RB,169.6,10,17.0,11.7,26.0,22.1,15.8,25.6,22.8,,19.4,10.0,9.5,6.7,,,,,,
Matt Forte,CHI,RB,168.7,12,14.1,21.8,16.6,8.2,28.8,15.1,12.3,24.3,,11.0,12.7,8.3,8.4,1.2,,,,
Chris Johnson,TEN,RB,168.5,16,10.5,4.9,6.5,7.5,11.2,12.5,,4.5,5.1,11.0,23.4,2.8,17.3,27.7,6.6,10.9,5.6,11.0
Beanie Wells,ARI,RB,165.9,14,11.9,16.2,15.3,,31.8,12.0,,4.2,14.3,3.3,6.2,1.3,26.8,13.3,3.0,12.1,6.1,
Detroit Lions,DET,DST,163.0,16,10.2,7.0,21.0,4.0,18.0,7.0,6.0,7.0,29.0,,4.0,5.0,2.0,1.0,27.0,6.0,14.0,5.0
Shonn Greene,NYJ,RB,162.5,16,10.2,3.3,11.5,10.6,2.3,15.2,7.7,11.7,,7.6,7.5,1.4,9.0,29.4,24.7,7.3,7.8,5.5
Hakeem Nicks,NYG,WR,161.2,15,10.8,12.2,9.8,2.5,22.2,12.5,9.6,,6.7,,10.1,6.9,8.7,20.8,16.3,7.3,2.0,13.6
Tarvaris Jackson,SEA,QB,160.5,15,10.7,11.2,7.6,12.8,22.4,10.3,,,11.1,3.1,9.0,6.9,11.8,12.0,11.4,10.9,8.8,11.2
