Player,Team,Position,Points,Games,Avg,Year
Los Angeles Rams,LAR,DST,243.0,12,20.2,2003
Los Angeles Chargers,LAC,DST,230.0,12,19.2,2007
Los Angeles Chargers,LAC,DST,217.0,12,18.1,2006
Los Angeles Chargers,LAC,DST,217.0,12,18.1,2009
Los Angeles Chargers,LAC,DST,204.0,12,17.0,2010
Los Angeles Rams,LAR,DST,200.0,12,16.7,2005
Los Angeles Rams,LAR,DST,197.0,12,16.4,2006
Los Angeles Chargers,LAC,DST,194.0,12,16.2,2005
Los Angeles Rams,LAR,DST,192.0,12,16.0,2010
Los Angeles Chargers,LAC,DST,189.0,12,15.8,2004
Los Angeles Rams,LAR,DST,186.0,12,15.5,2007
Los Angeles Chargers,LAC,DST,185.0,12,15.4,2003
Chicago Bears,CHI,DST,184.0,12,15.3,2006
Los Angeles Rams,LAR,DST,182.0,12,15.2,2011
Minnesota Vikings,MIN,DST,181.0,12,15.1,2007
Los Angeles Chargers,LAC,DST,179.0,12,14.9,2008
Baltimore Ravens,BAL,DST,179.0,12,14.9,2006
Chicago Bears,CHI,DST,178.0,12,14.8,2012
Los Angeles Rams,LAR,DST,171.0,12,14.2,2004
Los Angeles Chargers,LAC,DST,171.0,12,14.2,2011
Chicago Bears,CHI,DST,167.0,12,13.9,2005
Los Angeles Rams,LAR,DST,167.0,12,13.9,2008
Los Angeles Rams,LAR,DST,164.0,12,13.7,2009
Tampa Bay Buccaneers,TB,DST,163.0,12,13.6,2008
Detroit Lions,DET,DST,162.0,12,13.5,2007
New England Patriots,NE,DST,161.0,12,13.4,2007
Baltimore Ravens,BAL,DST,159.0,12,13.2,2008
New Orleans Saints,NO,DST,158.0,12,13.2,2009
New York Jets,NYJ,DST,158.0,12,13.2,2008
Tennessee Titans,TEN,DST,158.0,12,13.2,2008
Dallas Cowboys,DAL,DST,158.0,12,13.2,2007
Pittsburgh Steelers,PIT,DST,155.0,12,12.9,2008
Minnesota Vikings,MIN,DST,153.0,12,12.8,2008
Chicago Bears,CHI,DST,153.0,12,12.8,2008
Pittsburgh Steelers,PIT,DST,151.0,12,12.6,2007
New York Giants,NYG,DST,150.0,12,12.5,2007
Tennessee Titans,TEN,DST,150.0,12,12.5,2007
Indianapolis Colts,IND,DST,149.0,12,12.4,2007
Seattle Seahawks,SEA,DST,148.0,12,12.3,2007
Green Bay Packers,GB,DST,146.0,12,12.2,2007
New York Giants,NYG,DST,146.0,12,12.2,2008
Tampa Bay Buccaneers,TB,DST,146.0,12,12.2,2003
Indianapolis Colts,IND,DST,145.0,12,12.1,2005
Philadelphia Eagles,PHI,DST,143.0,12,11.9,2008
Baltimore Ravens,BAL,DST,143.0,12,11.9,2003
Carolina Panthers,CAR,DST,143.0,12,11.9,2013
Kansas City Chiefs,KC,DST,141.0,12,11.8,2013
Green Bay Packers,GB,DST,141.0,12,11.8,2008
Carolina Panthers,CAR,DST,141.0,12,11.8,2005
Baltimore Ravens,BAL,DST,141.0,12,11.8,2004
